They do to!	They do not!
New worlds create new people.	Oh?  So you are a new man?
I suppose we're both old men now.	You'll always be older than me, Father.
I believed in you...	Give me absolution.
In Nomine Patris et Filius, et Spiritus Sancti.	Forgive me, Father.  For I have sinned.
All of them!  Just lies!	Colon!  Don't!
Passion is something one cannot control!	You get so carried away when you are being contradicted!
You get so carried away when you are being contradicted!	I've been contradicted all my life... Eternity!
I've been contradicted all my life... Eternity!	Only God knows the meaning of such words, my son.
How can you be so certain?	The calculations of Toscanelli Marin de Tyr, Esdras...
The calculations of Toscanelli Marin de Tyr, Esdras...	Esdras is a Jew.
Esdras is a Jew.	So was Christ!
God... That's in a week!	That's what it says.
That's what it says.	How did you manage it?
How old are you, Senor Colon?	Thirty seven, Your Majesty... And you?
May I speak freely?	You show no inclination to speak otherwise!
I cannot ignore the verdict of my council.	Surely you can do anything you want.
The ocean is uncrossable?	What did they say about Granada before today?
What did they say about Granada before today?	That she was impregnable.
We can't raise the wheel without it.	My horse doesn't work.
What's he doing?	He's drawing an isthmus... He's saying we're on an isthmus.
He's drawing an isthmus... He's saying we're on an isthmus.	We can't be.
Six days ago, yes.	You must be mad...!
You must be mad...!	We have to keep the hopes of these men alive!
We have to keep the hopes of these men alive!	We're on the verge of a mutiny, Colon!
We're on the verge of a mutiny, Colon!	You think I don't know that?
You tell that to them!	You're right.  Let the men decide.
Then, what do you suggest, Don Sanchez?	He must be replaced.
He must be replaced.	And who would you think of, for such a task?
Is that the man I knew, Treasurer Sanchez?	Yes, Your Majesty.
I'm abused.  Don't you think?	I don't think it's abuse, I think it's torture.
Your father put cigarettes out on you?	Out on my back when I was a small boy.
Out on my back when I was a small boy.	Can I see your back?
...delusions and paranoia.	I was all of these.
No, he is here.  Shit...	Don't worry about him.  Think about yourself.
Don't worry about him.  Think about yourself.	What about my movie rights?  Book rights?
What about my movie rights?  Book rights?	Look, I haven't really focused on that kind of thing.
Look, I haven't really focused on that kind of thing.	What's your cut?  How much?
What's your cut?  How much?	I would say...half.  Half is fair.
I would say...half.  Half is fair.	No.  No way.
Don't say anything.	Where are we going?
Where are we going?	I'm coming with you.
I'm coming with you.	Yes.  Yes, come with me!
Are you my attorney?  I'm Emil.  I'm insane.	I'm not your lawyer until I see the money.
I'm not your lawyer until I see the money.	Here.  I have your money.
...Do you really want me to forget about you?	I don't want to drag you down with me.
What are you doing?	Pouring it out!
Do you have coffee?	In the kitchen.
In the kitchen.	I'll make some for us.
I'll make some for us.	I'll get my clothes.
No matter what happens...I'm glad I met you.	I'm glad I met you.
Is he your boyfriend?	Ludwig?  He's gay - are you jealous?
Ludwig?  He's gay - are you jealous?	If I was your boyfriend, I might be.
Are you alright?	I still can't believe Eddie's gone.
So you were never a prostitute?	What are you asking me?
What are you asking me?	I'm just trying to find out who you are.
You considered becoming a prostitute?	Yes, I considered it.
Yes, I considered it.	Did you ever turn tricks before?
So...the station is empty?	Yeah.  This way.
I will if they don't send me back.	They won't until this is over.
Alright.  That's a justifiable homicide.	Yes, but he was a cop.
If I tell you, will you arrest me?	Arrest you for what?  Why would we arrest you?
Oh yeah...?  Alright.	I'm ready to be briefed.  Excuse us.
Well this is gonna end your career and probably mine.	End my career?
Chief - mind if I take her?	Okay.  But not water sports.
What do you mean, 'cleaned up?'	I let her take a shower.
I let her take a shower.	A shower!?  Did you take one, too?
A shower!?  Did you take one, too?	No!  Nothing happened.
Who did cause and origin?	Who do you think, Chief?!
Who do you think, Chief?!	Then why didn't you talk to the reporter?
Did the D.A. videotape her deposition?	Yeah.  He finished awhile ago.
Are you hit?	No.  I'm okay.
Where is she?	Takin' a bath.
Boy, she's so popular all the sudden.	What are you saying?
Look, Eddie, I'm tellin' you - I didn't touch her.	Well, you shoulda because nobody's gonna believe you didn't...including me.
Well, you shoulda because nobody's gonna believe you didn't...including me.	I took her there for a shower and that's it.
I took her there for a shower and that's it.	Just a shower?
What would your girlfriend think of that?	I don't have a girlfriend.
I don't have a girlfriend.	My point exactly.
My point exactly.	I'm serious here.
I'm serious here.	So am I.
You goin' to the escort service?	You got any better ideas?
You got any better ideas?	Mind if I ride along with you?
Mind if I ride along with you?	This has nothing to do with your fire.
I can watch you, Eddie.  Maybe I'll learn something.	This isn't homicide school.
Watch the news?	Nah, I musta missed it.
Nah, why should you?	I don't even watch TV.
I don't even watch TV.	Good.  Good.  Commendable.
You know what that is, right?	No, what is it?
What's your accomplishment.	I kill someone famous.
I kill someone famous.	Then do it, asshole.
Patronizing you... Nay, I love you.	I love you.
Answer the phone.	No.  Tell me what you want to say.
Eddie, are you okay?	Yeah.  Now's not a good time.
He was hurt, but not seriously.  He'll be fine.	Do you have the suspect in custody?
How many victims are up there?	There are two bodies found at this point.
There are two bodies found at this point.	Can we go up to the crime scene?
Can we go up to the crime scene?	You know you can't do that.  C'mon.
You know you can't do that.  C'mon.	Is it drug related?
Any chance we can do that again?	Again?  I didn't wanna do it the first time.
Keep them out of my way.	Okay.  You ready?
Okay.  You ready?	Yeah, yeah.  Jesus.
So what's unique?	Not what.  Who.
I think you're getting a little moody there, Eddie.	I'm not moody.
Are you married?	No.  Are you proposing?
You stuff sausage in it.	And what do you do with the bones?
Look asshole.  I've been threatened by better than you.	No.  I'm the best that's ever threatened you.
Tell him to put his gun down!	Let her go!  Let her go!!
Let her go!  Let her go!!	If he doesn't lower his gun I'll fucking kill her.
Hi, I'm Honey.	Where's Czech girl?
We are both from Prague.	How long are you planning to stay?
I'd like to speak for himself, okay?	He doesn't speak English.
Please join us.  Come on forward.	Is there a problem?
Two weeks holiday.	How much money are you carrying with you?
How much money are you carrying with you?	I have five-hundred dollars.
This all you want?	Do you know how much killer gets for movie rights?
Do you know how much killer gets for movie rights?	In here, says he wants a million.
Who is he?	New York's finest.  This is his case.
You got that?	No, I don't get that!
What is that?	What does it look like?  It's an address book!
Oh, shit.  I hate looking at that!	Don't want to film this?
Get in the bathroom!	Whatever we do - we fuck her, right?
Whatever we do - we fuck her, right?	Oleg, get in bathroom, stay there and shut up!
You said speak Czech!	How you erase this?
How you erase this?	I'll do it.  Don't hurt my camera!
Look.  Times Square.  Just like in the movies!	Don't speak Russian!
Did you hear what I said?	I want to document my trip to America.
Yes, the money is good.	As a plumber?!
As a plumber?!	It's easy to learn.
Did you hurt her?	You know me...I never hurt anybody. Where's the money?
Viewer discretion advised!	You want the tape?  There it is!
What are you doing here?	You've got a call.
Isn't he a little moody?	Of course he's moody.  He thinks he's in love.
Of course he's moody.  He thinks he's in love.	In love?  With who?
I want to hear everything he said.	I'm trying to tell you.
I'm trying to tell you.	Alright.  Go ahead.
A cheap hotel.	What are you coming here to do?
What are you coming here to do?	I'm here for movies.
I'm here for movies.	Movies...to be in the movies or to see movies?
I'll take him.	No way!  He's mine!
No way!  He's mine!	We're takin' him.  Don't argue!
We're takin' him.  Don't argue!	He's my collar!
He's my collar!	Well, he killed my partner!
What was that?	Evidence.  Of a homicide.
No.  Go ahead.	Thanks.  Appreciate it.
Okay, you're under arrest!  Now you happy?	Fire Department?  Firemen don't carry guns.
Fire Department?  Firemen don't carry guns.	Oh yeah?  Guess again.
How did you start the fire this time?	I used an accelerant.
I used an accelerant.	Yeah?  What kind?
Get outta here!	What the hell happened?
What the hell happened?	They were inside.  They booby trapped her apartment!
Bobby, Bobby!  Where're you hit?!	It hurts.  Aw, Jesus!
It hurts.  Aw, Jesus!	Lay down.  Stay down, Bobby.
How long they been livin' here?	You hear that question, Garcia?
Where you been, man?  We got a celebrity!	I heard.  Who the hell let them up there?
You see anything in the crowd?  Anybody suspicious?	Naw - I'm sure the suspect's not here.
Naw - I'm sure the suspect's not here.	Oh yeah, why?
Oh yeah, why?	'Cause Eddie woulda locked him up by now!
Take the car.  Get outta here, Tommy.	Look, you can't shoot him in cold blood.
And isn't there a movie in the works about you?	We're in negotiations, that's correct.
I guess you don't know your own strength, old boy.	I guess not.
Good morning. How's it going?	Are you reasonably awake?
Are you reasonably awake?	Oh, I'm fine, I'm wide awake. What's up?
Oh, I'm fine, I'm wide awake. What's up?	Well... Hal's reported the AO-unit about to fail again.
Well, that's something.	Yes, I don't know what to make of it.
Yes, I don't know what to make of it.	I suppose computers have been known to be wrong.
I know. It would be almost inconceivable.	But not completely inconceivable?
But not completely inconceivable?	I suppose it isn't logically impossible.
I suppose it isn't logically impossible.	I guess it isn't.
I guess it isn't.	Still, all we have to do is ask Hal.
That seems very unlikely.	Yes, I thought so.
Sure, what is it?	Well, it's nothing really important, but it's annoying.
Hi. Frank... coming in, please.	Right. Just a sec.
The antenna has to be replaced.	Repairing the antenna is a pretty dangerous operation.
Too bad about Frank, isn't it?	Yes, it is.
Yes, it is.	I suppose you're pretty broken up about it?
I'm sorry about the misunderstanding, Hal.	Well, don't worry about it.
Well, don't worry about it.	And don't you worry about it.
And don't you worry about it.	Is your confidence in me fully restored?
Is your confidence in me fully restored?	Yes, it is, Hal.
Yes, I know.	You probably also know that we found them okay.
Okay, sweetheart. Have a lovely Birthday Party tomorrow.	Thank you, Daddy.
One, two, three. Can I speak to Mommy?	Mommy's out to the hair- dresser.
Mommy's out to the hair- dresser.	Where is Mrs. Brown?
Where is Mrs. Brown?	She's in the bathroom.
I'm having a party tomorrow.	Yes, I know that sweetheart.
Yes, I know that sweetheart.	Are you coming to my party?
When are you coming home?	In three days, darling, I hope.
I'm at Space Station Five, darling. How are you?	I'm fine, Daddy. When are you coming home?
Oh, that's such a delightful age.	How is gregor?
Well, thank you very much for being so understanding.	Please, it really doesn't matter.
Please, it really doesn't matter.	Well.. Did you have a pleaant flight?
Well.. Did you have a pleaant flight?	Yes, very pleasant.
Yes, very pleasant.	Well, shall we go through Documentation?
Yes... Well, I hope the crew got back safely.	Fortunately, they did.
Fortunately, they did.	Well, I'm glad about that.
Are you quite sure?	Yes, really, thank you very much.
How can you tell it was deliberately buried?	By the deformation between the mother rock and the fill.
By the deformation between the mother rock and the fill.	Any clue as to what it is?
There's nothing like weightless sleep for a complete rest.	When do we arrive at Clavius?
Five by five, Frank.	Hal, I'm going out now to replace the A.O. unit.
We don't wash 'em, ya know.	How about chargin' the battery?
This is three years old.	Yeah, I've been busy.
Maybe I better ask around, see what your pals think.	I don't give a shit who you ask.
Maybe you better have a Black Russian.	No, man, I think I'll have a vodka.
Yeah, dummy.  Money.	I never paid for it in my life.
I never paid for it in my life.	It's better when you pay... they let you do anything.
I want to drive awhile.	I ain't tired yet.
Maybe you shoulda stole a better truck, Tonto.	You got a real big mouth, convict.
Well, maybe I'll see you later ...	Here's hoping, baby...
You're in a hurry.	Yeah, i been waiting three years.
Yeah, i been waiting three years.	You just quit bein' a priest or somethin'?
Hey, what kind of talk is that?	Oh ... You're a schoolteacher...
I hear you've got visitors.	Would you guys...
I said police.  Now drop the goddamn gun.	Don't give me that police shit. You drop it.
You're done.  End of story.	I ain't gonna beg for my life. It ain't cool.
After I get outta this, cop...I'm gonna live forever...	I don't think you're gonna make it.
You lying son of a bitch...	What are you talking about? We didn't kill her ...
Hey, there she is...	Whatever play I maker just back me up.
Do I get to kiss her too?	If she's right, and if you don't screw up.
It's late, they're closing...	Don't worry about it.
Notice something funny about that bus?	Yeah. It missed the last four stops.
Bein' good at your job don't explain everything, Jack ...	Yeah. Guess not.
What about Luther?	What about Ganz?
Be polite. Say hello.  This is Candy.	Hello. And goodbye.
Bullshit. Then i'm staying with the money.	You stay with me...
If they don't tell me what I need to know...	Doesn't it get... Tiring?
Where's the goddamn car?	You're a real case, you know that, Jack?
We split 50-50?	Not likely, convict.
Not likely, convict.	You gonna let me keep any of it?
This place don't seem real popular with the brothers.	My kind of place. I always liked country boys.
I don't give out the details.	Last night, two nights ago, three?
Now, where we goin', convict?	Mission District.  Gonna find us an Indian.
Speakin' of moans my Stomach is startin' to growl.	We eat when I say we eat.
What do you think?	I think you better put him on ice, man.
I think you better put him on ice, man.	He's gotta take that call ... if there is one.
Luther was part of the gang?	What gang you talkin' about, Jack?
What's the big deal about you bein' on the street?	I got a lot to protect.
It's the only way you're gonna get Ganz.	I'll think about it.
You here to write my life story?	Not likely, Reggie.  Maybe I just need some help.
You got a name, cop?	Try Cates.  And let's talk in private, okay?
Try Cates.  And let's talk in private, okay?	Sure, anything you want.
Where the Christ do you think you're going?	I'm taking my prisoner back to jail.
Which one pulled the trigger?	The Indian.  I was about 30 yards away.
The Indian.  I was about 30 yards away.	You couldn't get to him?
What the bell happened?	I lost them, that's what happened.
I lost them, that's what happened.	How did they get away?
Bullshit red tape.	I'm heading out. How about you?
You look awful.	So do you...been a long day.
Aw, bullshit, you heard wrong.	Doesn't look like it.
Doesn't look like it.	Nothing came in for me yet?  No calls?
Here's the file. Cates checks the file.	One of  em's in the slam.
Tell me that's not the same guy.	Hey ... Dick Tracy.
Three more hours...	Where is he?
Where is he?	Promised I'd turn my back while he... ah, never mind...
What do I know?  I'm just a bartender.	Let's go, Reggie.
You real down?	I've been better...Dead end.  No Ganz, no Indian.
I ought to have you and your friend thrown out...	Don't.  We've had a hard night.
The number ... what's the Goddamn number?	Jack?  What was that?
No wonder you're so popular.	No, it's I'm just surprised you called.
No, it's I'm just surprised you called.	So am I.
Yeah, Guess it must have been a slow news day...	Jack, are you okay?
Great place for lunch.	Yeah, one of my favorites.
Yeah, one of my favorites.	You made the front page.
You know something, Jack, you really are hopeless.	That's the way I see it, too.
That's the way I see it, too.	Call me later.
Call me later.	You sure you want me to?
You sure you want me to?	Yeah, for some reason, I'm sure...
That's a fairly crummy way to start a morning.	Maybe I got a fairly crummy day ahead.
Maybe I got a fairly crummy day ahead.	Maybe that makes a nice excuse.
Maybe that makes a nice excuse.	Maybe you don't know what the hell you're talking about.
Hey, you know what I really think?	Tell me--I'm dyin' to hear it.
I'm all wet.	What's wrong with that?
What am I wanted for?	I don't answer questions, I ask 'em...
Hard man to live with.	How would you know?
How would you know?	Hey, two days with him is enough.
Hey, two days with him is enough.	That's no bull.
We got a lot to talk about.	Yeah, old times.
Yeah, old times.	We'll follow you.  Take it slow,okay?
How hot are they?	Hot?  Hey, they're not even room temperature.
Let her go.	First, the money.
Instead of worryin' about Reggie, you better worry about me...	Don't give me this, we were partners.
Don't give me this, we were partners.	Billy, go ahead, break it...
I can't get it until Monday. Honest.	You chickenshit punk...
I don't know what you're talkin' about.	You want that Indian to snap her neck?
Give it back.	Try and take it.
Five.  On credit.	This ain't a credit business.
How about some ammo?	It's loaded... I got some shells in here.
You want to go outside?	Naw, right here's okay.
How you doing, man?	Not bad, not bad.
Ikset-kiba.  Me imanetaba oum dalat!	You know exactly where they are!
The case..with the stones... Where is it?	San Agamat chay bet... envolet!
San Agamat chay bet... envolet!	The case was stolen?
...would you like a drink?	No thank you.
Zorg. Jean-Baptiste Emmanuel Zorg... nice to see you again	I remember you now..the so called art dealer.
Leeloo's in trouble?	When is she not in trouble?
When is she not in trouble?	Uh.. Have you tried the Diva's suite?
Is that the usual way priests go on vacation?	We're not going on vacation..we're on a mission..
We're not going on vacation..we're on a mission..	What kind of mission?
What kind of mission?	We have to save the world.
"It means, ""Never without my permission""."	That's what I thought.
They all like this in your family, father?	She's an exception..
She's an exception..	Thank you so much for your help Mr...?
Thank you so much for your help Mr...?	Dallas. Korben Dallas.
So you do know her.	Uh yes, we're cousins..distant cousins..
Who are you?	I brought the girl remember?
Excuse me, I'm looking for a priest.	Weddings are one floor down. Congratulations.
You're all safe. Thanks be to God!	Later, David! Later! There's not a minute to lose!
Father.  You sure she's the Supreme Being?	Absolutely sure There's the triple suns on her gloves!
I'm sorry, but... the Stones...	They are... with me...
So, just how big was this fare?	"5'7"", green eyes... long legs... great skin... perfect.."
How many points you got left on your license?	Uh... at least fifty.
Uh... at least fifty.	In your dreams! See you tonight!
I just found a picture of you.	How do I look?
...What's your name?	Leeloo Minai Lekarariba-Laminai-Tchai Ekbat De Sebat.
When EVIL returns so shall we.	We will be ready, Lord.
Will the elements be gone now forever from this place?	When mankind comes to its senses. We will return.
When mankind comes to its senses. We will return.	Knowing mankind as I do, that could take centuries!
Knowing mankind as I do, that could take centuries!	Time is of no importance, only life is important.
The Fifth Element...	Take them and put them in a safe place.
Fuel level 6.03..Propulsion 2x4...	I had the worst goddamn nightmare.
I had the worst goddamn nightmare.	You have nine points left on your license..
You have nine points left on your license..	Thanks for reminding me..
Welcome on board Mr. Dallas..	How you doing this morning?  Sleep OK? I didn't.
Is that all?	Yeah... then I sighed... like this.
What did you say? What did you do?	Nothing! Swear to God, I didn't do nothing!
I don't even know what I'm looking for!	Fuck it! Hold tight!
You know how to fly this thing?	It's like a cab isn't it?
Maybe we oughta be going, what do you think?	Not without Leeloo.
Six to the left. One to the right.	He's on vacation.
Three of us will never fit in there!	Oh, yes you will...
It's my wife.	I thought you were divorced.
You couldn't come up with something a little more discreet?	Old tricks are the best tricks eh?
Old tricks are the best tricks eh?	I'm not going.
Don't you open your messages?	I've had enough good news for today
And the third one?	You're the only one left alive...
To save the world.	Where have I heard this song before?
It's up to you now, Angel!	I'm so tired...
I'm so tired...	You can sleep tomorrow... come on...
You can sleep tomorrow... come on...	I want to sleep... forever...
The wind blows... the fire burns...	I know all that, Leeloo! I'm talking about the Stones.
I know all that, Leeloo! I'm talking about the Stones.	...The rain falls...
I'm so very sad.	Why? We did pretty well, wouldn't you say?
I told you not to read all that crap!	Protect life... Until death.
Here we go again...	You know women normally change five times more than men.
You know women normally change five times more than men.	You get that off the screen?
Not going to open?	I've never gotten a message that wasn't bad news.
The cash man!	Been here long?
This thing solid?	An elephant couldn't crack it.
This is all that survived?	Actually only one cell survived..
Actually only one cell survived..	Have you identified it?
Sounds like a freak of nature to me.	Yes... I can't wait to meet him.
They just landed in the desert.	How much time is left?
I want your best man on this!	Don't worry, Sir. I have the perfect one.
The-Stones weren't aboard the ship.	...What do you mean?
Staedert?  What's going on?  Did you destroy it?	I'm about to, Mr. President.
Is that better?	Perfect, Mr. President.
The Stones will be here. I'll see to it personally!	...I can't wait to be among you.
Am I disturbing you?	No... not at all.  Where are you?
She's all I've got.  She's the only witness.	Tom... she's dead.
You should have.	Amy, I'm not going to let anything happen to us.
I don't know what to say	You're killing me...
You don't understand...	No, I don't, because you're not telling me anything!
I don't know.  I'm sorry...	You're sorry?  What was I supposed to think?
What happened to you?	I'm okay, honey, I'm okay.  Are you alright?
I'm okay, honey, I'm okay.  Are you alright?	What's going on, Tom?  What happened?
... What's going on?	Just do it, Amy, please, go.
Amy, it's me.  Listen very carefully..	Tom?  Where have you been... ?
I love you.	I love you.
You better not be smoking, that's all I can say.	Honey, I'm not, please...
What's this... have you been smoking... ?	Smoking?  I'm not smoking.
Smoking?  I'm not smoking.	Your clothing reeks of it.
I'm not accusing you...	Well, I'm not smoking, okay?
Well, I'm not smoking, okay?	Okay, I believe you.
What the fuck... !	I promised him to Machine.
You remember Mr. Longdale, don't you?	I remember him.
Empty the gun onto the table, very carefully.	Look, I don't know what this...
What are you... ?	Take out your gun!
Where are the women?	They should be here any minute.
I'd rather you didn't.	What's the problem?
What's the problem?	I'm camera shy.
And they are?	I want to watch you work.
I want to watch you work.	I'll consider it.
You said something about money.	Yes.  What we're looking for is rather specific.
Flattering.  And, who's your colorful little chum?	A fellow investor.
You're a dead man.	Leave him alone.
Why not go to the N.C.I.C. or N.C.M.E.C.?	I figured you share information.
For whatever reasons I thought you might be more receptive.	Why don't they come to me?
What can I do for you, Mr. Welles?	Call me Tom.
Easy enough for you.	I never killed anyone.
You got absolute zero.	Show me where you buried her.
Show me where you buried her.	I don't know...  ... out there somewhere.
I don't know...  ... out there somewhere.	Where?  Show me where.
Yeah, the fucking lawyer.	Told him you could get him a snuff film.
How much did he pay you?	Thirty thousand each, that fucking cocksucker.
Starting to recognize a pattern?	What do you want?
What do you want?	Who is Machine?
Who is Machine?	I don't know...
I don't know...	I want his name.
I want his name.	I told you, I don't know.
I'm gonna kill you.	Don't bore me with that bullshit.
Don't bore me with that bullshit.	How'd you find me here?
Yeah, who's this?	I know what you did.
I know what you did.	Who is this.
Who is this.	You murdered that girl, Eddie.  Six years ago...
You murdered that girl, Eddie.  Six years ago...	What the fuck are you.. ?
Give me the film.	You'll get it when we get there.
They're no friends of mine.	Except, you're willing commit murder with them.
Of what sort?	You are a private investigator?
Who is he?	I told you, he's one of Dino Velvet's stock players...
I told you, he's one of Dino Velvet's stock players...	Who is he, his name?
You didn't say it was gonna be this luxurious.	It's their Presidential Suite.
Where are your parents?	I don't know, where are yours?
