Well, thank you.	You're late again.
That right? You a "stand-up dude?"	Yeah, I am. I will get you the other $500.
What's the last thing you remember?	I was driving home. I think.
Yeah, we're looking really good.	Thank God. So, what was it, then?
That may still be a ways down the road.	"A ways down the road?"
Three days, you must have got hungry.	Yeah, I guess.
Why didn't you answer your cell phone?	It was in my car.
Like what, like, like this?	That's not mine.
The kid with the crutches. The football player.	How about we stay on topic?
Buenas tardes, se�or Salamanca. �Entiendes en ingl�s?	What's that mean?
Did he mention my name?	No, thanks for caring.
And the RV?	Badger's cousin took it to his garage. It's safe.
So we can cook.	So you still wanna cook? Seriously?
What's changed, Jesse?	737,000. 21 pounds, minus cash on hand...cash on hand.
Sorry, honey. Did I wake you?	No, I was awake.
You sneaky bastard, you!	Very nice work.
You shouldn't have. You sick, sick puppies. I love it!	You going to finish your apple juice?
But I'm not thirsty.	Dad. Drink it.
You got a better idea?	Okay, fine. Whatever. So when do we, you know?
In the kitchen.	I didn't know you were allowed to touch the stove.
I wanted to. Grapefruit juice?	Yes, please. Thanks.
There you go. Honey?	I'll stick with orange, thank you.
You wouldn't know any current bands.	That's besides the point.
Boz Scaggs. There's another one.	Whoever they are. Thanks for breakfast.
Wait. What? You're kicking me out of my own house?	It's your aunt Ginny's house.
She gave it to me.	She never gave it to you, Jesse.
What happened is you're a speed manufacturer.	No, I'm not. What?
I think that's great.	Jesse. Jesse. Hey, Jesse. You don't answer your phone?
No, Mom! Mom! Where am I supposed to go?	I don't know, sweetheart. But please turn your life around.
Yeah, this is gonna help big time with that! Bitch!	Oh, hey, Mr. White.
New Mexican Christmas style, red and green chilies.	No. Thank you, though. Flynn and me gotta get going.
What's wrong with Walter Jr?	Don't take it personally. He wants his own identity.
You think he told Louis about me? About the blackout?	Louis is his friend, Walt, and your disappearance upset him.
I made omelets.	I'm going out, but thanks, though.
Where are you going?	Can you get the phone, please?
Yeah. Absolutely. White residence.	Yo, it's me. Is this a good time?
What part of "no contact" didn't you understand?	I know but there's a problem.
I can't lie. It's pretty hectic out there female-wise.	Damn. I'm hating, man.
Yeah, I used to not like carrots, too.	Hey, Ben, I think it's someone's nap time. Come on.
What the hell you doing here? You smell like shit.	It's a long story.
So ask me.	Why? Would you even tell me?
Are you actually this stupid?	No, look. I know this isn't optimal...
So, we're not going through an insurer. Is that correct?	Yes. Direct bill.
Just need to print it out for you.	Thank you. I thought we had discussed a cash discount.
No. The hospital bill came.	That was fast.
I'm surprised his head still fits through the door.	Hey, wanna grab lunch?
Here's the man.	Hey, congratulations, Hank.
I'll let you take it for nine Gs.	What about that one?
Utilities are included.	Stacking. Sweet. You got cable?
What are you doing?	brat' off. What's it look
Okay, so what's the plan?	The plan is we cook.
I got bills, man.	You've got bills?
There's a third way.	And what would that be?
You don't get to vote.	I beg your pardon? This is a partnership, remember?
Good deal, mover. Good deal.	Yo. Badge, hey.
Plasma rocks it over LCD, yo.	Nah. They burn in, yo.
It's gonna be pretty much sparse. Very Asian-y, modern stuff.	Feng shui, yo. I can dig it.
You got any other refreshments?	I could kick it. It's been a while.
That's kinda, like, hopeful, bro.	Street's maybe 17, 18.
It's an armpit.	It's not an armpit.
You know perfectly well, Marie.	Well, obviously I don't.
Hell, yeah, it was freakin' scary, you little punk. Jesus.	But you were way faster than him.
Well, I'm here, aren't I?	Hell, yeah. Kick ass and take names.
I wasn't sure it was you. New car?	Yeah, keeping things on the D.L.
I'm guessing this one doesn't bounce.	Your half. That's what I'm talking about. You're welcome. Jesus.
What up? Damn, bitch.	Got something for me?
Yeah, I found them.	Is this a 5 or an S?
5. No, wait. S. Yeah, a 5.	Jesus, how the hell do you spell "street" wrong? S-T-R-E-A-T?
I think it's gonna be a nice day, huh?	Yeah, high 70s.
You have a great day.	Right on. You too.
You dropped it!	Shut the hell up about it.
Very nice to meet you, Flynn.	Nice to meet you, too.
Though a bald head is a bit of a shocker.	I know it was for me.
For good luck. Right?	Exactly. Here's hoping. We could use some of that, huh?
Nice meeting you.	Likewise. Bye now.
I just want to say, man...	What? What do you want to say?
Serious, I might have a concussion!	Don't fall asleep, baby.
Yo, for real? She up and lost it, yo.	You shut up!
Shut up, skank.	Shut up! Stop it!
So? It's FIDC insured. It's a victimless crime.	Where the hell did you get this?
I'm telling you. A victimless crime.	Jesus! Come on already!
Stop calling me that! I ain't no skank!	Skank, skank, skank ass skank!
And I apologize deeply.	Now please tell me why you did it.
You are always the picture of innocence.	You left me.
They're cutting off the money.	What did she say, exactly?
And yet she still drives a Bentley.	Keeping up appearances or I don't know. Who knows?
Baby, that H is bringing me down.	You took too much. I told you.
And you knocked, right? He didn't answer? Which means?	Look, I'm his father, all right?
You're Mr. Jackson?	That's me. Walt Jackson. And you are?
I called the cops.	You called the cops?
It's Badger, man.	What are you doing? Don't use your real name.
You get on. All right? I just want to forget.	Sorry. What's up with that?
It ain't real, dumbass.	Watch it, is all.
Man, that's church, yo. For real.	What have you heard?
Serious. But, like he really did it?	You didn't hear that from me.
Wow, handsome. Oh, my God. Good genes.	Speaking of movie stars, those can't be the twins.
Walt, how's he doing?	He is doing great. He's plugging away.
You're kidding. You were like our go-to bookkeeper.	The economy, you know, so.
Because it's not our territory.	Because we lack initiative.
I'm a blowfish.	You are a blowfish. Say it again.
I'm a blowfish.	Say it like you mean it.
We'll get you three.	You give me ten.
Speak of the devil.	How are you? What's up?
This is Raisin Bran, not Raisin Bran Crunch.	So? Same thing.
Dad, notice anything?	Is there a funeral today?
A funeral? Christ, do I look that bad?	Mom got a job.
Corner the market, then raise the price. Simple economics.	Come on in.
I figured that might be a deal-breaker.	Listen, I wanted to thank you for having me back.
You don't have to thank me. I need you.	It's a little early for wine, isn't it?
All right. I'm hitting it.	You dudes give up that easy?
Which dude? That dude? No way. He'd kick my ass.	True that. This is so hard, you know?
So go ahead and ask.	Are you a cop?
Not like that. Ask it, like, official.	Are you a police officer?
I was out partying, minding my own business.	You are under arrest.
I really need to get some furniture.	I suggest you start with a bed.
God, I wish we could smoke in here.	Well, you can't.
What'd I say?	Nothing. I just have to go is all.
I just think it's asking a lot.	He knows it. He's done nothing but apologize.
Baby, not now.	It's me, Hank. Sorry.
Hey, buddy. What's up?	I just, do you mind if I...So how you doing?
Playing it by ear. "To be determined."	Think you might want to talk it through with somebody?
Do it again. Go on.	$10,000 even. Same as last time. It's totally accurate.
Not yours, I take it.	We got 10, 20, 30, 44, five each.
Then wake him up. He can sleep after we're paid.	Why you gotta be such a hard on?
Honey, I'm home! Too slow! What's up?	You've got more lives than a damn cat.
We are hanging out, Badger. You like Badger or Brandon?	I like people who don't, like, abuse the Constitution.
And Badger's gonna spill?	Like the Exxon Valdez.
So what do we do about it?	Francesca, how about I follow you home?
Wait a minute. This is in regards to what's-his-name?	Badger! Brandon Mayhew.
He just goes by Heisenberg.	How old's this Heisenberg?
Average, I guess. Medium height, medium weight.	What color hair?
There's more than one kind of prison.	What the hell is that supposed to mean?
Wait a minute.	What? What? Let me see. Who the hell is that?
I don't know.	Mr. Heisenberg, I presume. Time to move?
Not till we see the exchange.	What? Now he shows.
I don't get it. What's the holdup?	Where's the stuff, man?
Where are we going?	Just shut up. Get out. Go stop him.
Schrader, I'm blocked.	Not a good time.
How you doing? Are you feeling okay?	Schrader, I'm blocked.
We're working. You gotta get out of here.	You're working? Like DEA working? Is something going down?
Wrong guy! Wrong guy! Other bench.	Move your ass now!
Okay. I'll go and leave you alone.	We'll talk about it later. Just floor it! Floor it!
What did Tom Hagen do for Vito Corleone?	I'm no Vito Corleone.
You all right in there? You okay?	I'm fine, thank you.
If she finds out, it's after I'm gone.	How much time they giving you?
At this time, $16,000.	How long have you been doing this?
Who is it?	Boy, you need some educating.
Hold on, hold on. Sorry. One sec. What?	I've been trying to reach you. Where's your drop phone?
I've been busy.	Clear your social calendar. We have to cook.
Tuesday? Four days straight?	Like it or not, we have no choice.
And why, exactly, is that?	Our methylamine. It's going bad.
All right, all right. Go.	I wish you didn't have to do this.
Three entire bags of Funyuns?	What? Funyuns are awesome.
How about something with some protein, maybe? Something green, huh?	Man, I'm getting no service.
How are you even alive?	Yo, check your phone. You get any bars?
I've got a signal.	Let me use yours, would ya?
Oh, God. Not there. That is our work station.	Our work station.
You said raise the prices.	All right, that's 40 times 42, minus distribution charges.
Six hundred and...	Seventy-two thousand dollars each.
I left 'em right here in the ignition.	Son of a bitch.
That is not what happened.	How do you know?
About another 15 miles.	Really? That far?
I'm trying to trickle-charge the battery.	Seriously? Just by turning that thing?
It has to work. You understand?	Can I try? How much longer?
I don't know.	You hanging in?
Do you have any money? Change, I mean. Coins.	I got a bunch of them.
A battery. Move!	This doesn't look like any battery I ever saw.
Sorry, buddy. No can do.	My son! My bottle! My house!
It's all right.	What are you waiting for? Bring it back.
You want me to go back to bed?	I guess that'd be kind of...
Need some help?	I got it. Just have a seat.
Is there any coffee?	Yeah, shit. One second.
I can tell. Fork?	There you go.
But we're really optimistic.	Great. Good news is great.
Yeah, it is. It really is.	Feel free to bring these any time.
You want installation, right?	No. I'm gonna do it myself.
That's what I like to hear.	And who's this? This guy can surf without a board?
Shut up. Like you never wanted a superpower.	Is that your door or mine?
I don't know.	It sounds like mine. I gotta go.
Hey. This your dad?	This is the new tenant.
Son, about yesterday...	I'm sorry about the pool.
I have some tools to put away.	You want to catch a movie later? What?
Before. With your dad.	It wasn't about anything.
So I totally just misread your total dis?	If anything, I was doing you a favor.
I bought a filter.	And I figured the less he knows, the better.
That's all you think you're doing?	Why do you even care about my dad?
You and me.	Who's you and me?
Fungus. And it is on a rampage.	I don't really see anything.
Not if I can help it.	You bucking for a promotion? Go home already.
I guess it just doesn't feel any different.	The good news?
Are you going to work today?	Skyler, there's rot.
You don't have to do that.	You're buying the wrong matches.
There he is. That's the guy.	Stay out of my territory.
When's the due date?	It's the 21st.
Which one is he?	You did not just say that to me.
You said expand the territory!	That doesn't mean you become careless!
We're in the big time now. So where's the kingpin?	Your guess is as good as mine.
That's why I left 40 minutes early.	Sorry. What did I miss?
For your refrigerator.	Oh, my God. Look at her. Look. God.
Isn't that Friday the 13th?	We have a birthday.
You cannot deny your employer his birthday wish.	Yes, I can. Watch me.
He wasn't there.	He was there all right.
Call him back.	I'm sorry. I can't do that.
Diet Coke, please. And five minutes of your time.	What can I do for you?
Are you familiar with my product?	I've been told it's excellent.
I like to mix some ice with it. Hold that.	What's it feel like?
Excuse me, where's the manager?	I'm the manager. Can I help you?
Where is it? Where'd you hide the meth?	In the kitchen.
Are you okay? Is everything okay?	Everything's okay. I just wish you'd been here.
What about that guy next door?	What do you mean?
Oh, hi, Carmen. Just Carmen.	Come on. Hurry up.
That baby's hungry.	Give me that baby. Aw, sweetie. Come on.
Jeez, Sky. Not at the table. We're eating.	Hank, it's only a breast.
It's my sister-in-law's breast.	You are so provincial.
I wish. Mom's even talking about me getting a job.	That's right. Everybody pitches in.
Hammacher Schlemmer makes a proper one of those. It's hypo-allergenic.	I think a towel will do. What is it?
Your son. He's just unbelievable. Come see what he did.	I told you it's not ready yet.
Honey, just show it to them.	My God, son. That's wonderful.
I don't understand why you need him.	Exactly. My point exactly.
Dad, let him go!	Get away from me, man. Back off. Back off!
You miserable little smackhead. Get the hell out!	Hey, I pay my rent, bitch! I got civil rights!
Jesse, come on. Please, no. Come on.	I pay my rent.
What are you doing? What are you doing?	I am calling the police.
I'm sorry. I made a mistake. Tomorrow.	You meant all that?
Just let it ring.	No, I'm gonna go see who it is.
Oh, of course. It really has been a long time.	Jesus. Get somewhere you can talk.
You wouldn't really go to the cops, would you?	We won't have to. He'll pay.
I guess you don't.	You'll never hear from either of us again.
You're not seeing straight, Jesse. You are making a mistake.	Do you know what this is?
Is New Zealand part of Australia?	New Zealand is New Zealand.
We can do that. Definitely.	Excuse me. What can I get you?
To water on Mars.	So, what'd you have? Girl or boy?
A little girl.	That's nice. Congratulations. I have a daughter.
You have other kids?	Just the one.
You all right?	Flynn, get your butt in here.
Look right there. Look at that.	Are those donations?
April 4, 1982.	And mother's maiden name and place of birth.
I don't believe it. Walt, you have to see this!	40 from Terre Haute.
Because maybe your Heisenberg's in prison.	So says APD. They think they got their man.
Awesome. It'll mean more hits.	And more contributions.
Nice to meet you.	Nice to meet you.
Paul Canterna of Canterna Real Estate.	It's a pleasure.
Good to meet you.	And Gustavo Fring of Los Pollos Hermanos.
Please, just Gus.	Got to tell you, you guys make some kill
No. That's my brother-in-law. He's got a health issue.	I'm very sorry. What sort of health issue?
You don't have to do that.	Please. I'm happy to do it.
He is. He's the best.	You don't want to lose him, do you, Walter?
None of us do. We love him.	He's a good man, isn't he?
Yes, ma'am. Totally. My dad is my hero.	Does that put him to sleep?
They'll probably want me to take your glasses.	Yeah, you better.
She's seven weeks tomorrow. Seven, right?	I have a picture here, somewhere.
Shortness of breath?	A bit, but much better.
But he can be on his own? Just more, independent.	Use your best judgment.
Yes. For the last few weeks.	With whom? Who am I having an affair with?
Well, I mean, he certainly knows we're separated, so.	Has he moved out?
Half a million in cash.	That's the spirit. I got it, I got it.
I'll take you to school.	Yeah. No, I'm ready now.
Flynn, I'm taking you to school.	All right, I'm here. See you soon.
So, like, what makes you the expert?	I don't think I ever said I was that.
What the hell's going on in there?	Good morning, officer.
Citing you, sir.	What? What, you don't believe me?
I asked you to stay in the vehicle.	I can get out of my own car.
Take a deep breath, calm down.	This is America, okay?
Step back now.	Did you even hear what I said?
Sir, calm down.	Hellfire rained down on my house where my children sleep!
No, doesn't look like they were transporting narcotics.	Why'd the Border Patrol kick this to us?
Hey, Dad. Fixing up the house, huh?	Doing a little work, yeah.
Well, I'll bounce. It's cool.	You doing okay?
She doesn't want me to see the kids.	She said that?
God. It's a disaster.	It is not a disaster.
Oh, my God.	Talk to our friend and get cooking.
Pop-pop! Pop-pop, the ice cream man!	Don't tell your mom.
You want a job?	A job? Who's got a job for me?
Hey. Hey. Thought I'd well visit, if you don't mind.	Of course not. You don't need the room, do you?
Is that right?	If you're gonna do this, it can't be so glaring.
Well, it's not about taking sides, though.	How can you let her treat you like this?
You're not that lawyer on late-night television, are you?	Better call Saul! I get it all the time.
We feel 875 is very fair.	But I suppose there's always a little wiggle room.
No, that's my offer.	That's less than half-price.
Four hundred thousand. That's my final offer.	Waste of time.
I got dipping sticks.	You've reached Walt's temporary number. Please, leave a message.
Oh, no. Oh, God. This is all we need.	Hey, Mom, Dad. How's it going?
Inside. I bought the place.	It's me. There's something he should know about.
Oh, hey, Skyler. Yeah, it's me.	What? What the hell are you doing in there?
What is wrong with you?	Skyler, I have every right to be here.
Hey, son. How are you?	Are you back for good?
How was school?	It was good.
Not really? What does that mean?	So are you gonna be at work tomorrow?
Yeah, that's the plan.	Hello, ma'am. We were called about a disturbance?
Sure, man. Whatever.	Okay. Whatever what? I mean, you gonna call him?
Indeed, he is.	So you're in business with this Heisenberg.
My husband makes meth. Methamphetamine.	Your husband's a drug dealer?
What are you talking about?	Ain't jack going on up here. It's quiet as hell.
What you doing?	Calling A.P.D. What do you think?
Screw it. It's your turn to pay.	Where you going?
Gotta take a leak.	Jesus, get yourself some Flomax.
There's an ATM right outside.	Yeah, I don't have a card.
So how does it feel? Does it hurt?	Yeah, it's tight.
Yeah, but is it painful?	It's hard to breathe.
You know what? You called my bluff.	What does that even mean?
Just keep telling yourself that.	What is that supposed to mean?
It's a bad thing.	Hello. Walter White to see Ted Beneke.
I'm sorry. Mr. Beneke's on a conference call.	Okay. I will wait.
Excuse me. Mr. Beneke's not available.	Ted? Come on.
We have a situation.	Walt. Walt. Walt. What are you doing?
Great, drilled right into the stucco.	A little bit of putty, you'll be fine.
Great line of work, by the way. Real upstanding field.	Yeah, well I enjoy it.
No, I moved back home.	That's good, right?
No, this is fine.	So I want an intro to your guy.
Yeah, well, sorry. I can't help you.	Fine, ass-wad. I'll contact the guy myself.
Anytime, loser. Hey, hey, hey! Wait. Hey!	00. This day is dragging.
Okay. I wish I could stay.	So stay. What's stopping you?
I can't believe I remembered that.	Mel who? Does he have a last name?
Do the deal.	You have one unheard message.
Where can I find him, you think?	No idea. Haven't seen him.
Where did this come from, Cara?	I don't know. What is it? Drugs?
Cara. Please, tell me that that camera works.	Damn it. Bingo.
Work it, work it, baby.	Yo, this is sick, brother.
Must be moving mad volume.	It's funny. You wanna know what's funny?
Why don't you go get your dad?	Sure. Hey, Dad. Dad?
What did I just say?	Give me the phone. Give it.
Whatever, man. You owe me that money.	Let me talk to him.
I turned it down. End of story.	Good. Good. Jesus, God knows I'm relieved.
What is this?	Your new lab.
All right, rain check, then.	Great dinner, Mom. Can I be excused?
To do homework or to play video games?	I can multitask.
Could you check again?	Now? Can I do it after the party?
Janice, I'm dead in the water here.	Okay, I'll check.
I'd really like to speak with him.	He's passed away. He was shit two months
Christian Ortega. Was his nickname Combo?	Thanks for this. I really appreciate it.
Miss Peyketewa, she's dead! I need some backup out here.	Okay. On their way.
My unhappiness? My completely out-of-the-clear blue-sky unhappiness? Really?	Look, as you said, for the best.
Brandon Mayhew. I know you. Small world, Albuquerque.	Wanna talk about it?
Oh, yes. Hi. Sorry. I'll be right down.	Hi. Gale Boetticher.
"X-ray crystallography." Really? I could talk about that for hours.	I would love to.
Exactly. But actually, I prefer ether.	Oh, I'll have it for tomorrow.
Gale, I'm wondering how you�	Ended up here?
It is. It is magic. It still is.	"When I Heard the Learn'd Astronomer."
Well, can you recite it?	Pathetically enough, I could.
Marie, I'm working.	Did you find it? The RV?
No. Working on it, so�	Why can't you just arrest him, make him tell you?
It's not simple. There's a thing called the Constitution.	Constitution, blah, blah, blah.
Oh, hey, buddy. Hey, how you doing?	Oh, hey, Hank. What's up?
Yo. What, Mr. White?	How's my favorite genius?
Socket wrench. The big one.	What? You scared of the Arabs?
Hey, what about Jesse?	What about him?
He was just having fun. You'll get over it.	No! I hate him! I wish he was dead!
I guess crime does pay.	I don't suppose you just came by to insult me.
Clean, no moisture. Done.	Is our solvent filtered?
